Time,Command_1,Z_1,Step_1,Command_2,Z_2,Step_2
0.000000,4.000000,0.004000,100.000000,4.000000,0.004000,50.000000
0.100000,8.000000,0.015980,100.000000,8.000000,0.015980,50.000000
0.200000,12.000000,0.039900,100.000000,12.000000,0.039900,50.000000
0.300000,16.000000,0.079701,100.000000,16.000000,0.079701,50.000000
0.400000,20.000000,0.139302,100.000000,20.000000,0.139302,50.000000
0.500000,24.000000,0.222606,100.000000,24.000000,0.222606,50.000000
0.600000,28.000000,0.333493,100.000000,28.000000,0.333493,50.000000
0.700000,32.000000,0.475825,100.000000,32.000000,0.475825,50.000000
0.800000,36.000000,0.653446,100.000000,36.000000,0.653446,50.000000
0.900000,40.000000,0.870179,100.000000,40.000000,0.870179,50.000000
1.000000,44.000000,1.129828,100.000000,44.000000,1.129828,50.000000
1.100000,48.000000,1.436179,100.000000,48.000000,1.436179,50.000000
1.200000,52.000000,1.792998,100.000000,52.000000,1.792998,50.000000
1.300000,56.000000,2.204033,100.000000,56.000000,2.204033,50.000000
1.400000,60.000000,2.673013,100.000000,60.000000,2.673013,50.000000
1.500000,64.000000,3.203648,100.000000,64.000000,3.203648,50.000000
1.600000,68.000000,3.799629,100.000000,68.000000,3.799629,50.000000
1.700000,72.000000,4.464631,100.000000,69.167447,4.461799,50.000000
1.800000,76.000000,5.202308,100.000000,65.167447,5.185825,50.000000
1.900000,80.000000,6.016297,100.000000,61.167447,5.967398,50.000000
2.000000,84.000000,6.910215,100.000000,57.167447,6.802231,50.000000
2.100000,88.000000,7.887664,100.000000,53.167447,7.686057,50.000000
2.200000,92.000000,8.952226,100.000000,49.167447,8.614631,50.000000
2.300000,89.840164,10.101305,100.000000,45.167447,9.583730,50.000000
2.400000,85.840164,11.330478,100.000000,41.167447,10.589151,50.000000
2.500000,81.840164,12.635347,100.000000,37.167447,11.626712,50.000000
2.600000,77.840164,14.011530,100.000000,33.167447,12.692253,50.000000
2.700000,73.840164,15.454674,100.000000,29.167447,13.781634,50.000000
2.800000,69.840164,16.960441,100.000000,25.167447,14.890735,50.000000
2.900000,65.840164,18.524520,100.000000,21.167447,16.015458,50.000000
3.000000,61.840164,20.142619,100.000000,17.167447,17.151725,50.000000
3.100000,57.840164,21.810467,100.000000,13.167447,18.295478,50.000000
3.200000,53.840164,23.523817,100.000000,9.167447,19.442680,50.000000
3.300000,49.840164,25.278439,100.000000,5.167447,20.589313,50.000000
3.400000,45.840164,27.070129,100.000000,1.167447,21.731381,50.000000
3.500000,41.840164,28.894701,100.000000,-2.832553,22.864905,50.000000
3.600000,37.840164,30.747989,100.000000,-6.832553,23.985930,50.000000
3.700000,33.840164,32.625852,100.000000,-10.832553,25.090516,50.000000
3.800000,29.840164,34.524165,100.000000,-14.832553,26.174748,50.000000
3.900000,25.840164,36.438827,100.000000,-18.832553,27.234725,50.000000
4.000000,21.840164,38.365756,100.000000,-22.832553,28.266570,50.000000
4.100000,17.840164,40.300890,100.000000,-26.832553,29.266424,50.000000
4.200000,13.840164,42.240189,100.000000,-30.832553,30.230445,50.000000
4.300000,9.840164,44.179632,100.000000,-34.832553,31.154814,50.000000
4.400000,5.840164,46.115217,100.000000,-38.832553,32.035728,50.000000
4.500000,1.840164,48.042965,100.000000,-42.832553,32.869406,50.000000
4.600000,-2.159836,49.958914,100.000000,-46.832553,33.652082,50.000000
4.700000,-6.159836,51.859123,100.000000,-47.618873,34.383226,50.000000
4.800000,-10.159836,53.739672,100.000000,-47.444695,35.063270,50.000000
4.900000,-14.159836,55.596658,100.000000,-46.966637,35.692947,50.000000
5.000000,-18.159836,57.426199,100.000000,-46.210297,36.273265,50.000000
5.100000,-22.159836,59.224433,100.000000,-45.201196,36.805480,50.000000
5.200000,-26.159836,60.987516,100.000000,-43.964630,37.291070,50.000000
5.300000,-30.159836,62.711623,100.000000,-42.525515,37.731706,50.000000
5.400000,-34.159836,64.392950,100.000000,-40.908264,38.129231,50.000000
5.500000,-38.159836,66.027711,100.000000,-39.136661,38.485631,50.000000
5.600000,-42.159836,67.612138,100.000000,-37.233755,38.803016,50.000000
5.700000,-46.159836,69.142483,100.000000,-35.221769,39.083592,50.000000
5.800000,-49.652276,70.615524,100.000000,-33.122014,39.329643,50.000000
5.900000,-49.938445,72.031262,100.000000,-30.954819,39.543509,50.000000
6.000000,-50.002181,73.389918,100.000000,-28.739473,39.727567,50.000000
6.100000,-49.860447,74.691921,100.000000,-26.494173,39.884209,50.000000
6.200000,-49.529770,75.937884,100.000000,-24.235992,40.015833,50.000000
6.300000,-49.026205,77.128591,100.000000,-21.980845,40.124818,50.000000
6.400000,-48.365301,78.264979,100.000000,-19.743474,40.213514,50.000000
6.500000,-47.562074,79.348123,100.000000,-17.537435,40.284229,50.000000
6.600000,-46.630986,80.379221,100.000000,-15.375101,40.339216,50.000000
6.700000,-45.585924,81.359577,100.000000,-13.267663,40.380660,50.000000
6.800000,-44.440186,82.290591,100.000000,-11.225147,40.410672,50.000000
6.900000,-43.206470,83.173743,100.000000,-9.256432,40.431277,50.000000
7.000000,-41.896865,84.010583,100.000000,-7.369276,40.444410,50.000000
7.100000,-40.522849,84.802716,100.000000,-5.570348,40.451906,50.000000
7.200000,-39.095285,85.551793,100.000000,-3.865262,40.455501,50.000000
7.300000,-37.624422,86.259500,100.000000,-2.258618,40.456818,50.000000
7.400000,-36.119899,86.927549,100.000000,-0.754044,40.457375,50.000000
7.500000,-34.590753,87.557666,100.000000,0.645755,40.458575,50.000000
7.600000,-33.045425,88.151588,100.000000,1.938948,40.461708,50.000000
7.700000,-31.491769,88.711048,100.000000,3.124531,40.467949,50.000000
7.800000,-29.937067,89.237774,100.000000,4.202267,40.478362,50.000000
7.900000,-28.388039,89.733478,100.000000,5.172639,40.493895,50.000000
8.000000,-26.850860,90.199853,100.000000,6.036790,40.515388,50.000000
8.100000,-25.331174,90.638565,100.000000,6.796474,40.543569,50.000000
8.200000,-23.834113,91.051249,100.000000,7.453994,40.579064,50.000000
8.300000,-22.364313,91.439505,100.000000,8.012151,40.622393,50.000000
8.400000,-20.925931,91.804894,100.000000,8.474193,40.673980,50.000000
8.500000,-19.522671,92.148934,100.000000,8.843757,40.734152,50.000000
8.600000,-18.157793,92.473096,100.000000,9.124821,40.803149,50.000000
8.700000,-16.834144,92.778802,100.000000,9.321652,40.881122,50.000000
8.800000,-15.554169,93.067426,100.000000,9.438759,40.968144,50.000000
8.900000,-14.319937,93.340287,100.000000,9.480849,41.064212,50.000000
9.000000,-13.133159,93.598650,100.000000,9.452776,41.169253,50.000000
9.100000,-11.995210,93.843727,100.000000,9.359507,41.283127,50.000000
9.200000,-10.907147,94.076671,100.000000,9.206076,41.405638,50.000000
9.300000,-9.869732,94.298580,100.000000,8.997550,41.536535,50.000000
9.400000,-8.883446,94.510496,100.000000,8.738994,41.675516,50.000000
9.500000,-7.948517,94.713405,100.000000,8.435437,41.822237,50.000000
9.600000,-7.064931,94.908233,100.000000,8.091845,41.976316,50.000000
9.700000,-6.232456,95.095856,100.000000,7.713090,42.137339,50.000000
9.800000,-5.450655,95.277089,100.000000,7.303929,42.304860,50.000000
9.900000,-4.718909,95.452698,100.000000,6.868979,42.478412,50.000000
10.000000,-4.036430,95.623391,100.000000,6.412700,42.657510,50.000000
10.100000,-3.402279,95.789830,100.000000,5.939375,42.841651,50.000000
10.200000,-2.815381,95.952620,100.000000,5.453097,43.030325,50.000000
10.300000,-2.274541,96.112322,100.000000,4.957755,43.223013,50.000000
10.400000,-1.778459,96.269447,100.000000,4.457026,43.419194,50.000000
10.500000,-1.325739,96.424461,100.000000,3.954365,43.618349,50.000000
10.600000,-0.914910,96.577785,100.000000,3.452996,43.819962,50.000000
10.700000,-0.544433,96.729798,100.000000,2.955913,44.023522,50.000000
10.800000,-0.212712,96.880838,100.000000,2.465875,44.228530,50.000000
10.900000,0.081889,97.031204,100.000000,1.985403,44.434499,50.000000
11.000000,0.341044,97.181160,100.000000,1.516785,44.640954,50.000000
11.100000,0.566447,97.330933,100.000000,1.062075,44.847440,50.000000
11.200000,0.759808,97.480716,100.000000,0.623096,45.053516,50.000000
11.300000,0.922842,97.630673,100.000000,0.201448,45.258763,50.000000
11.400000,1.057265,97.780938,100.000000,-0.201490,45.462782,50.000000
11.500000,1.164782,97.931617,100.000000,-0.584551,45.665197,50.000000
11.600000,1.247081,98.082789,100.000000,-0.946771,45.865653,50.000000
11.700000,1.305832,98.234511,100.000000,-1.287385,46.063819,50.000000
11.800000,1.342674,98.386817,100.000000,-1.605813,46.259388,50.000000
11.900000,1.359217,98.539720,100.000000,-1.901655,46.452079,50.000000
12.000000,1.357034,98.693217,100.000000,-2.174676,46.641630,50.000000
12.100000,1.337655,98.847283,100.000000,-2.424800,46.827810,50.000000
12.200000,1.302570,99.001882,100.000000,-2.652096,47.010406,50.000000
12.300000,1.253218,99.156961,100.000000,-2.856771,47.189233,50.000000
12.400000,1.190992,99.312455,100.000000,-3.039156,47.364126,50.000000
12.500000,1.117231,99.468289,100.000000,-3.199693,47.534945,50.000000
12.600000,1.033223,99.624378,100.000000,-3.338931,47.701571,50.000000
12.700000,0.940199,99.780626,100.000000,-3.457509,47.863907,50.000000
12.800000,0.839335,99.936932,100.000000,-3.556148,48.021875,50.000000
12.900000,0.731750,100.093188,100.000000,-3.635639,48.175417,50.000000
13.000000,0.618507,100.249282,100.000000,-3.696837,48.324495,50.000000
13.100000,0.500610,100.405096,100.000000,-3.740645,48.469086,50.000000
13.200000,0.379008,100.560509,100.000000,-3.768011,48.609187,50.000000
13.300000,0.254592,100.715401,100.000000,-3.779915,48.744807,50.000000
13.400000,0.128197,100.869645,100.000000,-3.777362,48.875972,50.000000
13.500000,0.000603,101.023120,100.000000,-3.761371,49.002719,50.000000
13.600000,-0.127467,101.175699,100.000000,-3.732975,49.125100,50.000000
13.700000,-0.255339,101.327260,100.000000,-3.693203,49.243176,50.000000
13.800000,-0.382395,101.477682,100.000000,-3.643084,49.357018,50.000000
13.900000,-0.508067,101.626842,100.000000,-3.583634,49.466708,50.000000
14.000000,-0.631836,101.774626,100.000000,-3.515852,49.572333,50.000000
14.100000,-0.753230,101.920917,100.000000,-3.440715,49.673989,50.000000
14.200000,-0.871825,102.065605,100.000000,-3.359177,49.771778,50.000000
14.300000,-0.987239,102.208582,100.000000,-3.272158,49.865806,50.000000
14.400000,-1.099136,102.349745,100.000000,-3.180545,49.956183,50.000000
14.500000,-1.207219,102.488995,100.000000,-3.085190,50.043023,50.000000
14.600000,-1.311228,102.626237,100.000000,-2.986903,50.126442,50.000000
14.700000,-1.410945,102.761383,100.000000,-2.886452,50.206557,50.000000
14.800000,-1.506182,102.894346,100.000000,-2.784563,50.283487,50.000000
14.900000,-1.596787,103.025048,100.000000,-2.681916,50.357351,50.000000
15.000000,-1.682639,103.153414,100.000000,-2.579143,50.428266,50.000000
15.100000,-1.763648,103.279374,100.000000,-2.476832,50.496350,50.000000
15.200000,-1.839749,103.402865,100.000000,-2.375522,50.561718,50.000000
15.300000,-1.910903,103.523827,100.000000,-2.275706,50.624483,50.000000
15.400000,-1.977098,103.642208,100.000000,-2.177829,50.684757,50.000000
15.500000,-2.038341,103.757958,100.000000,-2.082291,50.742647,50.000000
15.600000,-2.094661,103.871035,100.000000,-1.989447,50.798258,50.000000
15.700000,-2.146106,103.981400,100.000000,-1.899605,50.851691,50.000000
15.800000,-2.192740,104.089021,100.000000,-1.813033,50.903044,50.000000
15.900000,-2.234643,104.193869,100.000000,-1.729956,50.952411,50.000000
16.000000,-2.271910,104.295921,100.000000,-1.650560,50.999880,50.000000
16.100000,-2.304649,104.395158,100.000000,-1.574992,51.045537,50.000000
16.200000,-2.332976,104.491566,100.000000,-1.503363,51.089462,50.000000
16.300000,-2.357020,104.585134,100.000000,-1.435749,51.131731,50.000000
16.400000,-2.376918,104.675858,100.000000,-1.372196,51.172418,50.000000
16.500000,-2.392814,104.763736,100.000000,-1.312716,51.211588,50.000000
16.600000,-2.404856,104.848769,100.000000,-1.257297,51.249305,50.000000
16.700000,-2.413201,104.930964,100.000000,-1.205898,51.285627,50.000000
16.800000,-2.418008,105.010330,100.000000,-1.158457,51.320609,50.000000
16.900000,-2.419438,105.086880,100.000000,-1.114888,51.354302,50.000000
17.000000,-2.417657,105.160629,100.000000,-1.075087,51.386751,50.000000
17.100000,-2.412828,105.231597,100.000000,-1.038933,51.417999,50.000000
17.200000,-2.405119,105.299805,100.000000,-1.006289,51.448084,50.000000
17.300000,-2.394696,105.365277,100.000000,-0.977005,51.477042,50.000000
17.400000,-2.381722,105.428040,100.000000,-0.950921,51.504904,50.000000
17.500000,-2.366363,105.488122,100.000000,-0.927865,51.531699,50.000000
17.600000,-2.348777,105.545556,100.000000,-0.907661,51.557452,50.000000
17.700000,-2.329125,105.600373,100.000000,-0.890125,51.582187,50.000000
17.800000,-2.307562,105.652609,100.000000,-0.875069,51.605922,50.000000
17.900000,-2.284240,105.702299,100.000000,-0.862303,51.628677,50.000000
18.000000,-2.259307,105.749481,100.000000,-0.851635,51.650466,50.000000
18.100000,-2.232906,105.794195,100.000000,-0.842875,51.671304,50.000000
18.200000,-2.205179,105.836480,100.000000,-0.835833,51.691201,50.000000
18.300000,-2.176258,105.876377,100.000000,-0.830322,51.710169,50.000000
18.400000,-2.146275,105.913928,100.000000,-0.826159,51.728216,50.000000
18.500000,-2.115354,105.949177,100.000000,-0.823165,51.745349,50.000000
18.600000,-2.083615,105.982165,100.000000,-0.821166,51.761575,50.000000
18.700000,-2.051172,106.012938,100.000000,-0.819997,51.776901,50.000000
18.800000,-2.018134,106.041538,100.000000,-0.819497,51.791330,50.000000
18.900000,-1.984604,106.068011,100.000000,-0.819514,51.804867,50.000000
19.000000,-1.950682,106.092400,100.000000,-0.819902,51.817517,50.000000
19.100000,-1.916458,106.114752,100.000000,-0.820526,51.829283,50.000000
19.200000,-1.882021,106.135109,100.000000,-0.821259,51.840170,50.000000
19.300000,-1.847453,106.153518,100.000000,-0.821981,51.850179,50.000000
19.400000,-1.812830,106.170021,100.000000,-0.822583,51.859316,50.000000
19.500000,-1.778224,106.184664,100.000000,-0.822965,51.867585,50.000000
19.600000,-1.743701,106.197489,100.000000,-0.823034,51.874989,50.000000
19.700000,-1.709322,106.208542,100.000000,-0.822710,51.881533,50.000000
19.800000,-1.675145,106.217864,100.000000,-0.821917,51.887222,50.000000
19.900000,-1.641222,106.225498,100.000000,-0.820593,51.892063,50.000000
20.000000,-1.607598,106.231486,100.000000,-0.818682,51.896061,50.000000
20.100000,-1.574319,106.235870,100.000000,-0.816135,51.899222,50.000000
20.200000,-1.541421,106.238691,100.000000,-0.812914,51.901555,50.000000
20.300000,-1.508941,106.239988,100.000000,-0.808987,51.903067,50.000000
20.400000,-1.476908,106.239802,100.000000,-0.804331,51.903768,50.000000
20.500000,-1.445350,106.238172,100.000000,-0.798929,51.903666,50.000000
20.600000,-1.414291,106.235136,100.000000,-0.792771,51.902771,50.000000
20.700000,-1.383749,106.230731,100.000000,-0.785854,51.901095,50.000000
20.800000,-1.353743,106.224995,100.000000,-0.778179,51.898650,50.000000
20.900000,-1.324287,106.217962,100.000000,-0.769754,51.895447,50.000000
21.000000,-1.295391,106.209670,100.000000,-0.760594,51.891499,50.000000
21.100000,-1.267064,106.200152,100.000000,-0.750714,51.886820,50.000000
21.200000,-1.239311,106.189442,100.000000,-0.740137,51.881425,50.000000
21.300000,-1.212137,106.177574,100.000000,-0.728889,51.875328,50.000000
21.400000,-1.185543,106.164579,100.000000,-0.716999,51.868544,50.000000
21.500000,-1.159528,106.150490,100.000000,-0.704499,51.861090,50.000000
21.600000,-1.134091,106.135337,100.000000,-0.691423,51.852981,50.000000
21.700000,-1.109226,106.119151,100.000000,-0.677808,51.844235,50.000000
21.800000,-1.084930,106.101961,100.000000,-0.663692,51.834869,50.000000
21.900000,-1.061193,106.083796,100.000000,-0.649117,51.824901,50.000000
22.000000,-1.038010,106.064683,100.000000,-0.634122,51.814349,50.000000
22.100000,-1.015369,106.044650,100.000000,-0.618750,51.803231,50.000000
22.200000,-0.993262,106.023725,100.000000,-0.603042,51.791565,50.000000
22.300000,-0.971676,106.001932,100.000000,-0.587042,51.779370,50.000000
22.400000,-0.950601,105.979298,100.000000,-0.570792,51.766666,50.000000
22.500000,-0.930023,105.955847,100.000000,-0.554333,51.753471,50.000000
22.600000,-0.909929,105.931603,100.000000,-0.537707,51.739804,50.000000
22.700000,-0.890307,105.906590,100.000000,-0.520955,51.725685,50.000000
22.800000,-0.871141,105.880832,100.000000,-0.504115,51.711132,50.000000
22.900000,-0.852419,105.854349,100.000000,-0.487226,51.696164,50.000000
23.000000,-0.834125,105.827165,100.000000,-0.470326,51.680801,50.000000
23.100000,-0.816247,105.799300,100.000000,-0.453449,51.665062,50.000000
23.200000,-0.798768,105.770776,100.000000,-0.436630,51.648964,50.000000
23.300000,-0.781675,105.741613,100.000000,-0.419900,51.632527,50.000000
23.400000,-0.764953,105.711831,100.000000,-0.403290,51.615769,50.000000
23.500000,-0.748589,105.681449,100.000000,-0.386829,51.598708,50.000000
23.600000,-0.732569,105.650486,100.000000,-0.370543,51.581362,50.000000
23.700000,-0.716878,105.618962,100.000000,-0.354456,51.563748,50.000000
